"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 03 11:17:16 GMT 2023","Fri Nov 03 11:17:22 GMT 2023","6505","","guru.kazakov.HRS_TestsPageObject","","guru.kazakov.HRS_TestsPageObject","testMainPageSearch","Testing main page search",""
"passed","Fri Nov 03 11:16:59 GMT 2023","Fri Nov 03 11:17:09 GMT 2023","10099","","guru.kazakov.HRS_Tests","","guru.kazakov.HRS_Tests","testSupportPage","testSupportPage()",""
"passed","Fri Nov 03 11:17:10 GMT 2023","Fri Nov 03 11:17:16 GMT 2023","6091","","guru.kazakov.HRS_TestsPageObject","","guru.kazakov.HRS_TestsPageObject","testMainPageFeedbackForm","Testing main page feedback form",""
"passed","Fri Nov 03 11:17:27 GMT 2023","Fri Nov 03 11:17:31 GMT 2023","3849","","guru.kazakov.HRS_TestsPageObject","","guru.kazakov.HRS_TestsPageObject","testPageTitle","Testing page title",""
"passed","Fri Nov 03 11:16:43 GMT 2023","Fri Nov 03 11:16:52 GMT 2023","9072","","guru.kazakov.HRS_Tests","","guru.kazakov.HRS_Tests","testMainPageFeedbackForm","testMainPageFeedbackForm()",""
"passed","Fri Nov 03 11:16:59 GMT 2023","Fri Nov 03 11:16:59 GMT 2023","609","","guru.kazakov.HRS_Tests","","guru.kazakov.HRS_Tests","testPageTitle","testPageTitle()",""
"passed","Fri Nov 03 11:17:31 GMT 2023","Fri Nov 03 11:17:43 GMT 2023","11589","","guru.kazakov.HRS_TestsPageObject","","guru.kazakov.HRS_TestsPageObject","testSupportPage","Testing support page",""
"passed","Fri Nov 03 11:16:56 GMT 2023","Fri Nov 03 11:16:59 GMT 2023","3126","","guru.kazakov.HRS_Tests","","guru.kazakov.HRS_Tests","testMainPageLanguageSwitch","testMainPageLanguageSwitch()",""
"passed","Fri Nov 03 11:16:52 GMT 2023","Fri Nov 03 11:16:56 GMT 2023","3619","","guru.kazakov.HRS_Tests","","guru.kazakov.HRS_Tests","testMainPageSearch","testMainPageSearch()",""
"passed","Fri Nov 03 11:17:22 GMT 2023","Fri Nov 03 11:17:27 GMT 2023","4986","","guru.kazakov.HRS_TestsPageObject","","guru.kazakov.HRS_TestsPageObject","testMainPageLanguageSwitch","Testing main page country switch",""
